"table_15.18__number_of_clustered_precints,_registered_voters,_voters_who_actually_voted_and_voters'_turnout_by_region:_2013,_2016,_2019,_and_2022",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,unnamed:_26
(National And Local Elections),nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
Region,Number Of Clustered Precincts,nan,nan,nan,nan,Number Of Registered Voters,nan,nan,nan,Number Of Voters Who Actually Voted,nan,nan,nan,Voters' Turn-Out (%),,,,,,,,,,,,
nan,2013,nan,2016,2019,2022,2013,2016,2019,2022,2013,2016,2019,2022,2013,2016.0,2019.0,2022.0,,,,,,,,,
Philippines,77827,R,92509,85769,106439,52014648,54363844,61843771,65831806,40214324,44549848,46937139,55357093,77.31,81.95,75.9,84.09,,,,,,,,,
Ncr,7509,nan,9271,8298,10538,5995904,6253249,7074603,7322361,4220571,4916589,4915075,5962693,70.39,78.62,69.47,81.43,,,,,,,,,
Car,1828,nan,1983,1861,2153,924751,906162,1013418,1077900,718902,755772,795792,921227,77.74,83.4,78.53,85.46,,,,,,,,,
I-Ilocos Region,4623,nan,5376,4996,6127,2865115,2950775,3331404,3546764,2364308,2525358,2696074,3104841,82.52,85.58,80.93,87.54,,,,,,,,,
Ii-Cagayan Valley,3114,nan,3594,3384,4054,1871822,1920952,2194418,2312797,1475903,1594813,1695403,1951482,78.85,83.02,77.26,84.38,,,,,,,,,
Iii-Central Luzon,7903,nan,9511,8654,10993,5822678,6056392,6829661,7289791,4544930,4989374,5265335,6304414,78.06,82.38,77.1,86.48,,,,,,,,,
Iv-A-Calabarzon,9858,nan,12074,11097,13965,7205067,7619272,8674351,9193096,5197200,5928566,6180510,7635624,72.13,77.81,71.25,83.06,,,,,,,,,
Mimaropa Region,2421,nan,2832,2679,3348,1552520,1589326,1831328,1991599,1198683,1294666,1391895,1670695,77.21,81.46,76.0,83.89,,,,,,,,,
V-Bicol Region,4880,nan,5695,5411,6656,3037795,3121662,3647723,3910261,2489711,2644179,2908307,3366689,81.96,84.7,79.73,86.1,,,,,,,,,
Vi-Western Visayas,6465,nan,7658,7109,8570,4049640,4242153,4808839,5026482,3318423,3583332,3750974,4282256,81.94,84.47,78.0,85.19,,,,,,,,,
Vii-Central Visayas,5742,nan,7048,6503,8129,4114046,4375756,4946353,5249066,3358840,3726874,3941926,4553713,81.64,85.17,79.69,86.75,,,,,,,,,
Viii-Eastern Visayas,5173,nan,5754,5503,6271,2576229,2698880,3051649,3166260,2146545,2310252,2436166,2706476,83.32,85.6,79.83,85.48,,,,,,,,,
Ix-Zamboanga Peninsula,2968,nan,3410,3143,3831,1981427,1931795,2193033,2298930,1439050,1498007,1636148,1877471,72.63,77.54,74.61,81.67,,,,,,,,,
X-Northern Mindanao,3701,nan,4341,4037,4986,2458123,2541331,2855792,3060485,1948303,2108036,2250429,2620144,79.26,82.95,78.8,85.61,,,,,,,,,
Xi-Davao Region,3501,nan,4108,3777,4834,2660156,2659704,3026393,3236251,1886823,2154052,2222299,2628997,70.93,80.99,73.43,81.24,,,,,,,,,
Xii-Soccsksargen,2807,nan,3438,3207,4074,1985062,2086112,2431265,2606492,1501294,1669116,1823176,2102493,75.63,80.01,74.99,80.66,,,,,,,,,
Xiii-Caraga,2212,nan,2669,2486,3079,1445729,1547093,1760582,1868798,1196095,1318722,1420304,1594734,82.73,85.24,80.67,85.33,,,,,,,,,
Barmm,3122,R,3747,3624,4831,1468584,1863230,2172959,2674473,1208743,1532140,1607326,2073144,82.31,82.23,73.97,77.52,,,,,,,,,
Source: Commission On Elections,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,
